n,iterative,recursive,tail
1,5.94999801251106e-06,1.8030004866886884e-06,3.2859970815479755e-06
14,1.1588999768719077e-05,5.55700171389617e-06,1.5051999071147293e-05
27,2.004800262511708e-05,9.712999599287286e-06,1.428500036126934e-05
40,3.2985000871121883e-05,1.6481997590744868e-05,1.5808000171091408e-05
53,4.789100057678297e-05,1.9488001271383837e-05,2.0213999960105866e-05
66,5.636100104311481e-05,2.2503998479805887e-05,2.4255998141597956e-05
79,7.223099964903668e-05,2.1427000319818035e-05,2.813299943227321e-05
92,8.424599946010858e-05,2.197600042563863e-05,3.4736000088742e-05
105,0.0001001879973046016,2.3520999093307182e-05,3.9899001421872526e-05
118,0.00011630800145212561,2.3904998670332134e-05,4.6057000872679055e-05
131,0.00015566799993393943,2.3137003154261038e-05,4.762199750985019e-05
144,0.000134407000587089,2.3406999389408156e-05,5.3882999054621905e-05
157,0.00014598599955206737,2.2806001652497798e-05,5.6609998864587396e-05
170,0.00016339000285370275,2.3126998712541535e-05,6.0983998992014676e-05
183,0.00021928400019533,2.2939999325899407e-05,6.559699977515265e-05
196,0.0001947999990079552,2.534500163164921e-05,7.191999975475483e-05
209,0.0002005320020543877,2.2401000023819506e-05,7.571400055894628e-05
222,0.00023173400040832348,2.2049000108381733e-05,7.90109988884069e-05
235,0.00022398000146495178,2.206000135629438e-05,8.4991999756312e-05
248,0.00023118500030250289,2.2422002075472847e-05,9.033999958774075e-05
261,0.0002495640001143329,2.4433000362478197e-05,9.309800225310028e-05
274,0.00026424299721838906,2.3789998522261158e-05,0.00010528799975872971
287,0.0002771889994619414,2.365600084885955e-05,0.00015901600272627547
300,0.0002922099993156735,2.4950997612904757e-05,0.00012354299906292
313,0.0003033130014955532,2.4339999072253704e-05,0.00014626499978476204
326,0.0003293209992989432,2.5179000658681616e-05,0.00013171200043871067
339,0.00033307400008197874,2.494100044714287e-05,0.00013727799887419678
352,0.00034925499858218245,2.3820997739676386e-05,0.00014221300079952925
365,0.0003600049967644736,2.714900256250985e-05,0.00014745799853699282
378,0.0003867800005536992,2.3406999389408156e-05,0.00015316999997594394
391,0.0003884290017595049,2.3789998522261158e-05,0.00016051900092861615
404,0.00040422600068268366,2.4183998903026804e-05,0.00017993499932345003
417,0.0004266799987817649,2.30330006161239e-05,0.00017102000128943473
430,0.00042332199882366695,2.4474997189827263e-05,0.00017539499822305515
443,0.0004698960001405794,2.4547000066377223e-05,0.00019973400048911572
456,0.00044807499943999574,2.3489999875891954e-05,0.000183023999852594
469,0.000461985997390002,2.355199831072241e-05,0.00019378399883862585
482,0.0004717510018963367,2.4392000341322273e-05,0.00019218800298403949
495,0.0004893740006082226,2.367600245634094e-05,0.00019672800044645555
508,0.0005038029994466342,2.5999001081800088e-05,0.00020903300173813477
521,0.0005265879990474787,2.4971999664558098e-05,0.0002114790004270617
534,0.000529625998751726,2.3976001102710143e-05,0.00022940299822948873
547,0.0005446140021376777,2.4816999939503148e-05,0.00022087099932832643
560,0.0005559240016737022,2.4049000785453245e-05,0.0002231619982921984
573,0.0005766979993495625,2.4090997612802312e-05,0.00023210799918160774
586,0.0005881629986106418,2.4567001673858613e-05,0.0002750750027189497
599,0.0006202669974300079,2.5116998585872352e-05,0.0002512119972379878
612,0.0006147519998194184,2.4930999643402174e-05,0.00025662400003056973
625,0.0006569420002051629,2.645400309120305e-05,0.00028566900073201396
638,0.0006980329999350943,2.6028999855043367e-05,0.0002666789987415541
651,0.0006520700007968117,2.442199911456555e-05,0.0003184369998052716
664,0.0006913470024301205,2.6194997190032154e-05,0.00030837200029054657
677,0.0006832720027887262,2.646499706315808e-05,0.00029723799889325164
690,0.0007103899988578632,2.537600084906444e-05,0.0002934439980890602
703,0.0007178329979069531,2.6154000806855038e-05,0.00029297700166353025
716,0.0007325839978875592,3.398999979253858e-05,0.00029849199927411973
729,0.0007533050011261366,2.37280000874307e-05,0.0003114609971817117
742,0.0007664499971724581,2.31890007853508e-05,0.0003070130005653482
